code," eng_desc"," viet_desc"," image"," alternative_code"
AA804R,"Ruler, 150 mm (6""), graduated in mm and inches","Thước đo, thép không gỉ, dài 150mm, chia độ đến mm và inches",https://products.api.bbraun.io/api/image/AA804R?countryISOCode=01,17-412-15-07
AA805R,"Ruler, 300 mm (11 3/4""), graduated in mm and inches","Thước đo bằng thép không gỉ, dài 300mm, chia độ đến mm và inches",https://products.api.bbraun.io/api/image/AA805R?countryISOCode=01,17-412-30-07
AA806R,"Ruler, 500 mm (19 3/4""), graduated in mm and inches","Thước đo bằng thép không gỉ, dài 500mm, chia độ đến mm và inches",https://products.api.bbraun.io/api/image/AA806R?countryISOCode=01,17-412-50-07
AA808R,"X-Ray Ruler, 500 mm (19 3/4""), graduated in 0.5 cm","Thước sử dụng trong X-quang, dài 500mm, chia độ đến 0,5 cm",https://products.api.bbraun.io/api/image/AA808R?countryISOCode=01,99-999-99-99
AA845R,None,None,None,48-370-26-07
AA846R,"Caliper, 240 mm (9 1/2""), open. width: 190 mm, measuring range up to 190 mm","Thước đo đường kính trong và ngoài, dài 230mm, có thể đo tới 150mm",https://products.api.bbraun.io/api/image/AA846R?countryISOCode=01,09-004-64-07
AA847R,"Caliper, 130 mm (5 1/8""), open. width: 100 mm, measuring range up to 100 mm","Thước đo đường kính trong và ngoài, dài 130mm, có thể đo tới 100mm",https://products.api.bbraun.io/api/image/AA847R?countryISOCode=01,99-999-99-99
AC468R,None,"Gương soi thanh quản, số 000, dài 120mm, đường kính 6mm",None,99-999-99-99
AC469R,None,"Gương soi thanh quản, số 00, dài 120mm, đường kính 8mm",None,39-786-08-04
AC470R,None,"Gương soi thanh quản, số 0, dài 120mm, đường kính 10mm",None,39-786-10-04
AC471R,None,"Gương soi thanh quản, số 1, dài 120mm, đường kính 12mm",None,39-786-12-04
AC472R,None,"Gương soi thanh quản, số 2, dài 120mm, đường kính 14mm",None,39-786-14-04
AC473R,None,"Gương soi thanh quản, số 3, dài 120mm, đường kính 16mm",None,39-785-16-01
AC474R,None,"Gương soi thanh quản, số 4, dài 120mm, đường kính 18mm",None,39-785-18-01
AC475R,None,"Gương soi thanh quản, số 5, dài 120mm, đường kính 20mm",None,39-785-20-01
AC476R,None,"Gương soi thanh quản, số 6, dài 120mm, đường kính 22mm",None,39-785-22-01
AC477R,None,"Gương soi thanh quản, số 7, dài 120mm, đường kính 24mm",None,39-785-24-01
AC478R,None,"Gương soi thanh quản, số 8, dài 120mm, đường kính 26mm",None,39-785-26-01
AC479R,None,"Gương soi thanh quản, số 9, dài 120mm, đường kính 28mm",None,39-785-28-01
AC480R,None,"Gương soi thanh quản, số 10, dài 120mm, đường kính 30mm",None,39-786-30-04
AC481R,None,"Cán gương soi thanh quản, sử dụng cùng AC468R - AC480R, dài 110mm",None,39-794-11-02
AC483C,None,None,None,39-798-12-02
AC497R,None,None,None,39-789-12-02
AC498R,None,None,None,39-789-14-02
AD110R,"Goniometer, 145 mm (5 3/4"")",Thước đo góc,https://products.api.bbraun.io/api/image/AD110R?countryISOCode=01,17-408-01-07
AD123R,"STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 33 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 33mm",https://products.api.bbraun.io/api/image/AD123R?countryISOCode=01,09-006-47-07
AD125R,"STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 38 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 38mm",https://products.api.bbraun.io/api/image/AD125R?countryISOCode=01,09-006-49-07
AD127R,"STEGMANN Mamilla Marker, (Areola Cookie Cutter, Nipple Marker), Ø 42 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 43mm",https://products.api.bbraun.io/api/image/AD127R?countryISOCode=01,09-006-51-07
AD129R,"STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 48 mm, jaw: toothed","Dụng cụ đánh dấu núm vú, có răng, đường kính 48mm",https://products.api.bbraun.io/api/image/AD129R?countryISOCode=01,09-006-53-07
AN379R,"MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for infants, straight, 150 mm (6""), jaw: serrated, fenestrated","Kềm kẹp ống nội khí quản Magill, cho trẻ sơ sinh, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 150mm",https://products.api.bbraun.io/api/image/AN379R?countryISOCode=01,19-301-15-07
AN380R,"MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for children, straight, 180 mm (7""), jaw: serrated, fenestrated","Kềm kẹp ống nội khí quản Magill, cho trẻ em, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 200mm",https://products.api.bbraun.io/api/image/AN380R?countryISOCode=01,19-301-20-07
AN381R,"MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for adults, straight, 230 mm (9""), jaw: serrated, fenestrated","Kềm kẹp ống nội khí quản Magill, cho người lớn, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 250mm",https://products.api.bbraun.io/api/image/AN381R?countryISOCode=01,19-303-25-07
AN705R,None,None,None,38-467-17-07
AN709R,"COLLIN Organ Grasping Forceps (Tongue Forceps), oval, straight, 170 mm (6 3/4""), jaw: serrated, fenestrated","Kẹp tổ chức Collin thẳng, ngàm khuyết, có khía, hình oval, khớp vít, có khóa cài, dài 170mm",https://products.api.bbraun.io/api/image/AN709R?countryISOCode=01,13-278-17-07
AN710R,"HEYWOOD-SMITH Organ Grasping Forceps (Haemorrhoidal Forceps), oval, straight, 200 mm (7 7/8""), jaw: serrated, fenestrated","Kẹp tổ chức Heywood-Smith, thẳng, ngàm có khía, hình oval, khuyết, khớp vít, có khóa cài, dài 200mm",https://products.api.bbraun.io/api/image/AN710R?countryISOCode=01,09-009-41-07
