code,viet,eng,alternative,brand
AA804R,"Thước đo, thép không gỉ, dài 150mm, chia độ đến mm và inches","Ruler, 150 mm (6""), graduated in mm and inches",17-412-15-07,B-Braun
AA805R,"Thước đo bằng thép không gỉ, dài 300mm, chia độ đến mm và inches","Ruler, 300 mm (11 3/4""), graduated in mm and inches",17-412-30-07,B-Braun
AA806R,"Thước đo bằng thép không gỉ, dài 500mm, chia độ đến mm và inches","Ruler, 500 mm (19 3/4""), graduated in mm and inches",17-412-50-07,B-Braun
AA808R,"Thước sử dụng trong X-quang, dài 500mm, chia độ đến 0,5 cm","X-Ray Ruler, 500 mm (19 3/4""), graduated in 0.5 cm",99-999-99-99,B-Braun
AA845R,None,None,48-370-26-07,B-Braun
AA846R,"Thước đo đường kính trong và ngoài, dài 230mm, có thể đo tới 150mm","Caliper, 240 mm (9 1/2""), open. width: 190 mm, measuring range up to 190 mm",09-004-64-07,B-Braun
AA847R,"Thước đo đường kính trong và ngoài, dài 130mm, có thể đo tới 100mm","Caliper, 130 mm (5 1/8""), open. width: 100 mm, measuring range up to 100 mm",99-999-99-99,B-Braun
AC468R,"Gương soi thanh quản, số 000, dài 120mm, đường kính 6mm",None,99-999-99-99,B-Braun
AC469R,"Gương soi thanh quản, số 00, dài 120mm, đường kính 8mm",None,39-786-08-04,B-Braun
AC470R,"Gương soi thanh quản, số 0, dài 120mm, đường kính 10mm",None,39-786-10-04,B-Braun
AC471R,"Gương soi thanh quản, số 1, dài 120mm, đường kính 12mm",None,39-786-12-04,B-Braun
AC472R,"Gương soi thanh quản, số 2, dài 120mm, đường kính 14mm",None,39-786-14-04,B-Braun
AC473R,"Gương soi thanh quản, số 3, dài 120mm, đường kính 16mm",None,39-785-16-01,B-Braun
AC474R,"Gương soi thanh quản, số 4, dài 120mm, đường kính 18mm",None,39-785-18-01,B-Braun
AC475R,"Gương soi thanh quản, số 5, dài 120mm, đường kính 20mm",None,39-785-20-01,B-Braun
AC476R,"Gương soi thanh quản, số 6, dài 120mm, đường kính 22mm",None,39-785-22-01,B-Braun
AC477R,"Gương soi thanh quản, số 7, dài 120mm, đường kính 24mm",None,39-785-24-01,B-Braun
AC478R,"Gương soi thanh quản, số 8, dài 120mm, đường kính 26mm",None,39-785-26-01,B-Braun
AC479R,"Gương soi thanh quản, số 9, dài 120mm, đường kính 28mm",None,39-785-28-01,B-Braun
AC480R,"Gương soi thanh quản, số 10, dài 120mm, đường kính 30mm",None,39-786-30-04,B-Braun
AC481R,"Cán gương soi thanh quản, sử dụng cùng AC468R - AC480R, dài 110mm",None,39-794-11-02,B-Braun
AC483C,None,None,39-798-12-02,B-Braun
AC497R,None,None,39-789-12-02,B-Braun
AC498R,None,None,39-789-14-02,B-Braun
AD110R,Thước đo góc,"Goniometer, 145 mm (5 3/4"")",17-408-01-07,B-Braun
AD123R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 33mm","STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 33 mm, jaw: toothed",09-006-47-07,B-Braun
AD125R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 38mm","STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 38 mm, jaw: toothed",09-006-49-07,B-Braun
AD127R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 43mm","STEGMANN Mamilla Marker, (Areola Cookie Cutter, Nipple Marker), Ø 42 mm, jaw: toothed",09-006-51-07,B-Braun
AD129R,"Dụng cụ đánh dấu núm vú, có răng, đường kính 48mm","STEGMANN Mamilla Marker, (Nipple Marker, Areola Cookie Cutter), Ø 48 mm, jaw: toothed",09-006-53-07,B-Braun
AN379R,"Kềm kẹp ống nội khí quản Magill, cho trẻ sơ sinh, thẳng, thân gập góc kiểu gối, ngàm khuyết, có khía, khớp vít, không có khóa cài, dài 150mm","MAGILL Catheter Introducing Forceps, knee bent, without ratchet, for infants, straight, 150 mm (6""), jaw: serrated, fenestrated",19-301-15-07,B-Braun
